,sent_id,index,Inflection/Surface form,Stem / Root,Category,Gender,Number,Person,Case,Vib,Tam,Voice,head_index,head_inflection,karaka Relation
0,1,1,क्रिसमस,क्रिसमस,n,m,sg,3,o,0_का,0,-,3.0,उपहारों,r6
1,1,2,के,का,psp,m,pl,-,o,-,-,-,1.0,क्रिसमस,lwg__psp
2,1,3,उपहारों,उपहार,n,m,pl,3,o,0_से,0,-,5.0,लदे,rh
3,1,4,से,से,psp,-,-,-,-,-,-,-,3.0,उपहारों,lwg__psp
4,1,5,लदे,लद,v,m,pl,any,-,या,yA,-,8.0,कैदी,nmod__k1inv
5,1,6,आठ,आठ,num,any,any,-,any,-,-,-,8.0,कैदी,nmod__adj
6,1,7,पाकिस्तानी,पाकिस्तानी,adj,any,any,-,d,-,-,-,8.0,कैदी,nmod__adj
7,1,8,कैदी,कैदी,n,m,pl,3,d,0,0,-,16.0,लौट,k1
8,1,9,सोमवार,सोमवार,n,m,sg,3,o,0_को,0,-,16.0,लौट,k7t
9,1,10,को,को,psp,-,-,-,-,-,-,-,9.0,सोमवार,lwg__psp
10,1,11,वाघा,वाघा,n,m,sg,3,d,0,0,-,12.0,बार्डर,pof__cn
11,1,12,बार्डर,बार्डर,n,m,sg,3,o,0_से,0,-,14.0,होकर,k5
12,1,13,से,से,psp,-,-,-,-,-,-,-,12.0,बार्डर,lwg__psp
13,1,14,होकर,हो,v,any,any,any,-,कर,kara,-,16.0,लौट,vmod
14,1,15,स्वदेश,स्वदेश,n,m,sg,3,d,0,0,-,16.0,लौट,k2p
15,1,16,लौट,लौट,v,any,pl,any,-,0_जा+या१,0,active,0.0,ROOT,main
16,1,17,गए,जा,v,m,pl,any,-,या१,yA1,-,16.0,लौट,lwg__vaux
17,1,18,।,।,punc,-,-,-,-,-,-,-,16.0,लौट,rsym
18,2,1,रिहा,रिहा,adj,any,any,-,-,-,-,-,2.0,हुए,pof
19,2,2,हुए,हो,v,m,pl,any,-,या,yA,-,3.0,कैदियों,nmod__k1inv
